iter	RMSE
0	36474.98261
1	33942.00473
2	31711.8632
3	29749.77854
4	28012.02312
5	26511.08088
6	25240.88314
7	23999.03906
8	23064.51128
9	22158.46755
10	21357.75414
11	20693.06073
12	20060.76923
13	19591.47353
14	19240.30291
15	18824.98294
16	18491.10321
17	18189.34462
18	17943.9171
19	17708.66955
20	17491.93892
21	17324.48358
22	17205.50069
23	17091.42567
24	16980.06655
25	16880.5634
26	16789.30709
27	16734.83946
28	16663.50409
29	16601.77768
30	16552.01507
31	16525.74103
32	16452.61622
33	16418.42991
34	16388.30437
35	16347.58392
36	16310.89112
37	16287.66269
38	16262.4393
39	16244.19783
40	16228.1148
41	16201.28495
42	16182.87537
43	16156.58643
44	16136.73278
45	16119.02359
46	16106.08412
47	16086.32861
48	16070.16385
49	16050.08507
50	16038.06441
51	16015.27648
52	16004.59904
53	15999.44539
54	15988.8066
55	15967.91869
56	15954.16428
57	15943.28835
58	15932.37993
59	15919.03899
60	15890.86366
61	15864.79692
62	15853.13324
63	15849.71677
64	15839.63656
65	15810.80959
66	15793.05432
67	15791.96844
68	15782.80907
69	15776.6779
70	15775.08908
71	15753.14776
72	15749.41604
73	15742.14477
74	15732.66487
75	15723.75039
76	15719.17018
77	15713.08684
78	15699.4851
79	15685.20607
80	15677.61272
81	15652.60086
82	15622.98143
83	15621.15093
84	15608.28099
85	15602.26025
86	15594.37355
87	15575.5208
88	15546.78295
89	15539.66253
90	15533.71268
91	15525.09954
92	15506.746
93	15504.30346
94	15501.92926
95	15497.59359
96	15479.23609
97	15469.13676
98	15456.44062
99	15453.73794
