iter	Passed	Remaining
0	14	1468
1	28	1397
2	43	1391
3	53	1291
4	64	1233
5	79	1238
6	91	1214
7	104	1206
8	118	1196
9	129	1168
10	141	1142
11	152	1120
12	165	1110
13	178	1095
14	181	1027
15	193	1016
16	205	1001
17	215	982
18	228	976
19	242	968
20	257	967
21	270	960
22	286	959
23	299	948
24	311	935
25	328	934
26	341	922
27	347	893
28	352	863
29	366	855
30	381	849
31	384	816
32	398	809
33	403	782
34	415	771
35	430	764
36	443	754
37	460	752
38	483	756
39	499	749
40	518	746
41	535	739
42	548	727
43	571	727
44	590	721
45	609	715
46	630	710
47	649	703
48	691	719
49	722	722
50	745	716
51	760	702
52	779	691
53	785	668
54	801	655
55	818	642
56	844	636
57	861	623
58	884	614
59	902	601
60	931	595
61	955	585
62	978	574
63	983	553
64	1004	540
65	1027	529
66	1043	514
67	1045	492
68	1057	475
69	1074	460
70	1076	439
71	1082	420
72	1091	403
73	1101	386
74	1112	370
75	1124	354
76	1133	338
77	1143	322
78	1153	306
79	1163	290
80	1172	275
81	1184	259
82	1194	244
83	1197	228
84	1207	213
85	1219	198
86	1229	183
87	1241	169
88	1253	154
89	1264	140
90	1276	126
91	1287	111
92	1298	97
93	1300	82
94	1303	68
95	1315	54
96	1327	41
97	1338	27
98	1348	13
99	1358	0
