iter	RMSE
0	30349.68106
1	28096.12996
2	26052.00372
3	24328.85756
4	22701.81431
5	21249.88961
6	19906.81867
7	18764.95102
8	17863.17699
9	17028.76766
10	16269.11708
11	15566.1537
12	15022.91053
13	14554.76047
14	14151.81006
15	13789.07639
16	13390.4228
17	13126.60839
18	12823.56984
19	12634.48867
20	12467.49822
21	12305.33613
22	12144.34427
23	12031.84455
24	11878.70435
25	11787.03993
26	11719.67601
27	11609.43934
28	11541.73
29	11492.73609
30	11421.06594
31	11375.53491
32	11316.95322
33	11269.4015
34	11241.12306
35	11212.99397
36	11191.20379
37	11141.22288
38	11123.31336
39	11101.26392
40	11065.87374
41	11029.31064
42	11017.66195
43	11000.17458
44	10974.93558
45	10959.75417
46	10947.0882
47	10934.48593
48	10925.96256
49	10917.52085
50	10902.88823
51	10893.26622
52	10885.0551
53	10874.08543
54	10851.57931
55	10836.13597
56	10823.68526
57	10811.65247
58	10795.63576
59	10780.0951
60	10761.60523
61	10746.18857
62	10727.15844
63	10722.02108
64	10713.33135
65	10693.56478
66	10687.80252
67	10677.87977
68	10669.35978
69	10660.44073
70	10636.39683
71	10627.24978
72	10616.64995
73	10607.69817
74	10600.40208
75	10591.51675
76	10582.06222
77	10566.87747
78	10557.15426
79	10547.36675
80	10532.69209
81	10506.49739
82	10492.6441
83	10484.27192
84	10477.2888
85	10469.17692
86	10459.52103
87	10449.20849
88	10437.28566
89	10432.07834
90	10414.09584
91	10407.26874
92	10385.91877
93	10373.47308
94	10367.29177
95	10354.03942
96	10347.7213
97	10331.34722
98	10321.5936
99	10317.92771
100	10308.54599
101	10294.09016
102	10262.92026
103	10251.13119
104	10236.43188
105	10216.07367
106	10202.84376
107	10189.99084
108	10184.96804
109	10175.68759
110	10168.62459
111	10163.99637
112	10148.3425
113	10133.32762
114	10108.82745
115	10094.69788
116	10087.25124
117	10057.32001
118	10045.67335
119	10021.96279
120	10014.06051
121	9997.325867
122	9989.722952
123	9976.657952
124	9948.347008
125	9941.114499
126	9931.262601
127	9910.33077
128	9880.165584
129	9875.211906
130	9854.662496
131	9850.192064
132	9831.06292
133	9819.464843
134	9813.588773
135	9811.402457
136	9795.511518
137	9778.029181
138	9765.607774
139	9760.266203
140	9741.376522
141	9722.492838
142	9708.132295
143	9694.663125
144	9684.76763
145	9673.585676
146	9669.244754
147	9660.028846
148	9647.567989
149	9638.752539
150	9628.932857
151	9604.0116
152	9595.054681
153	9591.282449
154	9585.388392
155	9576.053106
156	9568.446356
157	9561.47152
158	9552.586974
159	9541.658571
160	9530.090766
161	9522.671638
