iter	Passed	Remaining
0	16	8343
1	22	5720
2	31	5294
3	34	4336
4	40	4014
5	48	4010
6	57	4016
7	67	4154
8	73	3984
9	81	4009
10	88	3927
11	98	3997
12	107	4016
13	114	3967
14	119	3876
15	127	3852
16	134	3833
17	140	3768
18	148	3767
19	152	3662
20	156	3571
21	161	3514
22	165	3434
23	169	3360
24	173	3303
25	180	3291
26	185	3242
27	189	3187
28	196	3183
29	200	3145
30	205	3109
31	211	3087
32	214	3037
33	218	2995
34	224	2986
35	228	2944
36	232	2907
37	244	2977
38	255	3025
39	260	2997
40	267	2994
41	276	3011
42	292	3109
43	302	3132
44	309	3125
45	315	3113
46	326	3146
47	348	3279
48	358	3301
49	371	3343
50	377	3324
51	391	3369
52	397	3349
53	404	3341
54	412	3336
55	415	3297
56	425	3305
57	434	3312
58	442	3310
59	461	3385
60	472	3402
61	480	3392
62	488	3385
63	537	3660
64	542	3632
65	550	3621
66	556	3594
67	561	3568
68	569	3554
69	574	3531
70	585	3539
71	591	3518
72	599	3507
73	605	3488
74	612	3471
75	622	3470
76	686	3770
77	692	3746
78	701	3737
79	709	3727
80	716	3706
81	724	3694
82	732	3680
83	736	3647
84	740	3614
85	744	3585
86	749	3559
87	753	3527
88	757	3497
89	763	3476
90	767	3449
91	771	3422
92	775	3396
93	781	3376
94	785	3350
95	789	3323
96	795	3305
97	802	3290
98	806	3264
99	811	3245
100	816	3224
101	819	3199
102	823	3174
103	830	3160
104	837	3149
105	846	3147
106	852	3131
107	863	3133
108	868	3113
109	872	3092
110	878	3077
111	883	3060
112	887	3039
113	893	3024
114	898	3009
115	902	2988
116	908	2972
117	912	2952
118	916	2933
119	919	2913
120	925	2900
121	929	2881
122	934	2863
123	940	2851
124	944	2832
125	947	2813
126	951	2794
127	957	2782
128	961	2764
129	964	2746
130	968	2728
131	974	2716
132	978	2700
133	982	2683
134	986	2668
135	995	2665
136	1003	2659
137	1010	2650
138	1014	2633
139	1017	2617
140	1024	2609
141	1028	2593
142	1032	2577
143	1037	2566
144	1041	2550
145	1045	2535
146	1049	2519
147	1054	2509
148	1058	2494
149	1061	2476
150	1065	2462
151	1071	2452
152	1076	2441
